order_id,customer_name,pickup_zone,delivery_zone,rider_id,order_date,pickup_time,delivery_time,order_value,delivery_fee,status,payment_method,rider_rating
FD-00029,Fatima Bello,Surulere,Ikeja,RDR-023,2026-07-28,13:31,14:45,6137.01,844.62,DELIVERED,card,2.7
FD-00257,Ifeanyi Nwachukwu,Yaba,Ojodu,RDR-030,2026-07-28,12:26,13:53,13387.28,508.26,Delivered ,transfer,2.7
FD-00277,Segun Balogun,Victoria Island,Lekki,RDR-025,2026-07-01,09:21,09:52,13881.6,1183.82,delivered,,3.5
FD-00301,Obinna Okonkwo,Surulere,Lekki,RDR-009,2026-07-16,14:31,15:19,"₦10,627.49",1165.94,delivered,transfer,2.8
FD-00423,Chidi Okeke,Ojodu,Ikeja,RDR-029,2026-07-23,13:19,,13464.73,327.81,Failed,card,4.4
FD-00132,Babatunde Oluwole,Ikeja,Lekki,RDR-008,2026-07-16,16:34,17:31,4232.26,245.72,failed,cash,4.6
FD-00124,Zainab Abdullahi,Ikeja,Lekki,RDR-018,2026-07-15,17:03,18:15,14225.1,993.73,Delivered ,transfer,2.8
FD-00214,Obinna Okonkwo,Ikeja,Lekki,RDR-025,2026-07-19,20:05,,₦826.48,346.43,delivered,transfer,
FD-00358,Patience Eze,Lekki,Ikeja,RDR-011,2026-07-25,,,11317.17,691.02,Delivered ,cash,3.2
FD-00177,Emeka Chukwu,Ojodu,Victoria Island,RDR-015,2026-07-22,,,11455.31,1024.21,Delivered,card,3.5
FD-00037,Zainab Abdullahi,Ikeja,Victoria Island,RDR-001,2026-07-07,09:49,,2426.36,908.07,Delivered,,
FD-00235,Daniel Okafor,Lekki,Surulere,RDR-018,2026-07-13,16:58,,14049.77,1175.29,Failed,card,4.4
FD-00315,Blessing Nwofor,Lekki,Yaba,RDR-008,2026-07-22,09:14,10:29,6128.43,392.27,pending,,3.9
FD-00146,Funmilayo Adeyemi,Surulere,Victoria Island,RDR-016,2026-07-19,,,11679.51,590.2,Delivered ,cash,3.4
FD-00361,Ifeanyi Nwachukwu,Ojodu,Lekki,RDR-014,2026-07-06,17:33,,12163.04,894.62,DELIVERED,cash,3.2
FD-00312,Zainab Abdullahi,Victoria Island,Ojodu,RDR-014,2026-07-20,17:44,18:54,7051.89,808.73,Delivered,card,3.9
FD-00112,Amaka Osei,Ojodu,Surulere,RDR-027,2026-07-13,,,12523.82,906.5,failed ,card,3.0
FD-00027,Chidinma Obiora,Ikeja,Lekki,RDR-012,2026-07-13,,,5131.85,652.39,pending,cash,4.6
FD-00097,Damilola Adeyinka,Lekki,Yaba,RDR-020,2026-07-25,14:12,,12994.55,1189.02,DELIVERED,card,2.8
FD-00218,Funmilayo Adeyemi,Surulere,Lekki,RDR-029,2026-07-27,12:00,,,879.01,Delivered,cash,4.6
FD-00051,Blessing Nwofor,Ikeja,Victoria Island,RDR-021,2026-07-16,19:16,20:32,,756.17,Delivered ,transfer,4.1
FD-00284,Chukwuemeka Nwosu,Lekki,Surulere,RDR-029,2026-07-22,16:47,,14359.19,791.0,delivered,cash,4.4
FD-00127,Aisha Mustapha,Victoria Island,Ojodu,RDR-016,2026-07-19,09:31,10:14,2415.95,286.13,failed,cash,4.4
FD-00372,Zainab Abdullahi,Victoria Island,Surulere,RDR-028,2026-07-16,18:23,,8442.05,1123.73,Delivered ,card,3.4
FD-00120,Ola Adewale,Ojodu,Victoria Island,RDR-004,2026-07-01,13:05,14:07,3333.8,861.06,DELIVERED,transfer,2.5
FD-00410,Amaka Osei,Victoria Island,Ojodu,RDR-014,2026-07-21,14:05,,8242.77,608.3,Delivered ,card,4.9
FD-00030,Chukwuemeka Nwosu,Victoria Island,Surulere,RDR-011,2026-07-20,,,13243.49,443.1,Delivered ,transfer,2.7
FD-00203,Biodun Okafor,Surulere,Lekki,RDR-006,2026-07-05,14:20,14:42,6355.68,1086.44,DELIVERED,cash,
FD-00328,Funmilayo Adeyemi,Ikeja,Yaba,RDR-015,2026-07-22,,,10513.62,924.61,PENDING,,3.5
FD-00348,Obinna Okonkwo,Victoria Island,Lekki,RDR-022,2026-07-16,,,10001.0,1172.37,delivered,cash,3.4
FD-00071,Ngozi Eze,Surulere,Ojodu,RDR-028,2026-07-19,16:23,,1144.61,681.85,Delivered ,transfer,3.5
FD-00400,Amaka Osei,Surulere,Ojodu,RDR-020,2026-07-06,19:47,20:46,5733.53,653.75,Pending,cash,
FD-00210,Fatima Bello,Victoria Island,Ikeja,RDR-016,2026-07-28,13:26,,14434.87,877.03,Delivered ,cash,2.6
FD-00282,Ifeanyi Nwachukwu,Ojodu,Ikeja,RDR-007,2026-07-01,18:36,19:45,4169.23,892.79,delivered,cash,4.7
FD-00104,Aisha Mustapha,Surulere,Ojodu,RDR-014,2026-07-17,09:15,10:19,882.95,945.17,failed ,card,4.8
FD-00217,Damilola Adeyinka,Surulere,Victoria Island,RDR-003,2026-07-09,08:18,,7869.04,729.55,Failed,cash,4.9
FD-00110,Segun Balogun,Ojodu,Lekki,RDR-020,2026-07-25,08:21,,"₦4,242.65",468.51,Delivered ,transfer,4.7
FD-00421,Damilola Adeyinka,Victoria Island,Ojodu,RDR-002,2026-07-26,,,3966.45,1000.93,FAILED,transfer,3.9
FD-00031,Damilola Adeyinka,Ikeja,Victoria Island,RDR-010,2026-07-16,20:45,22:01,13998.63,1196.37,delivered,card,2.7
FD-00081,Adaeze Obi,Victoria Island,Lekki,RDR-006,2026-07-23,13:07,14:27,7216.05,1099.48,pending,,3.5
FD-00428,Fatima Bello,Victoria Island,Ikeja,RDR-019,2026-07-03,,,"₦12,004.46",925.7,PENDING,cash,3.8
FD-00264,Obinna Okonkwo,Ojodu,Victoria Island,RDR-013,2026-07-28,09:46,10:35,13033.06,456.24,delivered,card,2.6
FD-00332,Zainab Abdullahi,Ojodu,Yaba,RDR-005,2026-07-28,12:24,13:28,7903.91,1006.19,delivered,transfer,3.1
FD-00242,Mariam Suleiman,Victoria Island,Ojodu,RDR-029,2026-07-22,11:18,,"₦9,415.27",790.51,Delivered,cash,4.4
FD-00376,Zainab Abdullahi,Victoria Island,Ojodu,RDR-005,2026-07-01,16:34,17:43,8322.31,441.04,Pending,cash,3.8
FD-00044,Ngozi Eze,Ojodu,Lekki,RDR-025,2026-07-24,08:04,08:25,11085.26,651.04,Delivered ,transfer,
FD-00266,Tope Afolabi,Victoria Island,Surulere,RDR-029,2026-07-27,,,12760.54,702.48,DELIVERED,cash,3.2
FD-00434,Damilola Adeyinka,Ojodu,Surulere,RDR-025,2026-07-14,10:03,10:39,9147.57,1132.86,failed,transfer,4.1
FD-00109,Grace Abiodun,Victoria Island,Surulere,RDR-011,2026-07-01,15:21,16:10,6709.11,619.19,delivered,cash,4.0
FD-00065,Segun Balogun,Ojodu,Victoria Island,RDR-020,2026-07-15,,,13011.51,411.37,Delivered ,cash,2.9
FD-00116,Amaka Osei,Yaba,Victoria Island,RDR-019,2026-07-22,18:48,,2172.23,1026.94,PENDING,card,4.5
FD-00090,Blessing Nwofor,Ikeja,Victoria Island,RDR-020,2026-07-22,18:25,,"₦8,822.24",795.34,Pending,transfer,3.1
FD-00324,Ola Adewale,Victoria Island,Ikeja,RDR-010,2026-07-28,,,"₦11,938.35",841.17,FAILED,card,3.2
FD-00143,Yetunde Akinwande,Ikeja,Surulere,RDR-017,2026-07-13,10:40,11:46,"₦3,816.11",1191.71,Delivered ,cash,2.7
FD-00231,Segun Balogun,Yaba,Victoria Island,RDR-024,2026-07-01,15:29,,6766.51,522.4,PENDING,card,4.8
FD-00247,Blessing Nwofor,Yaba,Ojodu,RDR-007,2026-07-12,,,3218.05,779.34,delivered,transfer,4.0
FD-00288,Fatima Bello,Ikeja,Surulere,RDR-012,2026-07-07,,,6089.12,992.72,FAILED,cash,2.6
FD-00086,Adaeze Obi,Lekki,Yaba,RDR-003,2026-07-07,17:48,19:10,5681.45,785.68,Pending,cash,2.9
FD-00390,Adaeze Obi,Yaba,Lekki,RDR-010,2026-07-03,,,6351.13,742.4,FAILED,transfer,3.6
